,price
495,15884.0
225,15756.0
242,15733.0
233,15690.0
355,15637.0
402,15624.0
388,15608.0
494,15585.0
283,15445.0
311,15444.0
452,15414.0
569,15395.0
199,15316.0
150,15306.0
319,15294.0
532,15278.0
335,15242.0
251,15182.0
366,15096.0
244,15055.0
224,15016.0
460,15001.0
550,14989.0
543,14941.0
648,14933.0
252,14873.0
237,14859.0
313,14852.0
307,14817.0
295,14789.0
210,14776.0
451,14749.0
831,14748.0
453,14679.0
531,14676.0
459,14653.0
338,14616.0
256,14525.0
208,14517.0
468,14423.0
301,14353.0
566,14336.0
472,14333.0
357,14297.0
181,14237.0
509,14217.0
681,14164.0
489,14153.0
190,14150.0
787,14149.0
429,14059.0
639,14011.0
321,14001.0
365,13991.0
185,13917.0
630,13809.0
293,13772.0
302,13690.0
482,13681.0
296,13635.0
343,13618.0
340,13608.0
400,13607.0
584,13600.0
392,13588.0
483,13587.0
448,13562.0
342,13526.0
767,13491.0
554,13466.0
405,13457.0
765,13422.0
234,13383.0
333,13336.0
665,13325.0
740,13322.0
370,13302.0
316,13299.0
361,13296.0
476,13181.0
346,13172.0
352,13162.0
378,13149.0
659,13137.0
414,13130.0
282,13122.0
417,13117.0
269,13110.410000000003
339,13099.0
396,13097.0
263,13074.0
1063,13035.0
323,13013.0
456,13001.0
320,12985.0
709,12974.0
549,12973.0
726,12948.0
667,12946.0
265,12946.0
558,12910.0
287,12895.0
314,12884.8
408,12882.0
480,12872.0
679,12832.0
419,12820.0
272,12806.0
976,12746.0
475,12729.0
597,12705.0
695,12702.0
556,12676.0
394,12661.0
349,12638.0
992,12577.0
654,12550.0
344,12544.0
332,12501.0
303,12449.0
336,12376.220000000001
1060,12322.0
458,12288.0
308,12246.0
380,12239.0
276,12231.0
860,12193.0
633,12181.0
802,12176.0
393,12165.0
328,12149.0
457,12135.0
610,12122.0
513,12086.0
359,12072.0
568,12041.0
385,12030.0
214,12018.75
341,12017.0
442,11977.0
609,11913.0
661,11913.0
658,11899.0
235,11896.0
286,11875.0
358,11871.0
508,11855.0
245,11845.0
381,11837.0
372,11820.0
546,11814.0
977,11810.16
427,11801.0
477,11761.0
522,11757.0
474,11729.0
443,11728.0
699,11723.0
652,11687.0
322,11671.0
432,11646.0
447,11634.0
230,11628.0
606,11615.0
395,11610.0
371,11584.0
743,11533.0
827,11493.970000000001
461,11477.0
254,11466.0
637,11454.0
771,11444.5
728,11397.0
646,11394.0
446,11311.0
656,11287.0
677,11252.0
486,11246.0
555,11233.0
330,11218.0
324,11160.0
306,11141.0
345,11135.0
804,11099.0
540,11091.0
397,11083.0
428,11050.0
919,11048.0
754,11048.0
467,11046.0
1067,11028.0
162,11012.0
413,11009.0
851,11009.0
329,11007.0
755,11002.0
953,10977.0
505,10955.0
471,10952.0
430,10916.0
424,10895.0
642,10883.0
403,10856.0
524,10847.0
383,10841.0
798,10738.0
647,10736.0
406,10727.0
436,10721.0
844,10700.0
672,10697.0
420,10682.0
729,10677.0
433,10672.0
644,10671.8
398,10660.0
510,10656.0
621,10653.0
747,10649.0
464,10617.0
470,10608.0
692,10601.0
422,10600.0
516,10593.0
635,10581.0
536,10564.0
387,10543.0
561,10543.0
423,10536.0
415,10528.0
738,10513.0
603,10512.0
664,10491.0
933,10470.0
491,10448.0
527,10445.0
158,10435.0
1103,10429.0
275,10428.0
908,10402.0
184,10341.0
521,10311.0
294,10307.0
724,10290.0
391,10287.0
331,10270.0
243,10265.0
712,10255.0
602,10248.0
1736,10229.0
499,10219.0
425,10198.989999999998
248,10147.0
327,10115.0
675,10101.0
607,10089.0
487,10082.0
588,10064.0
384,10054.0
784,10053.0
504,10022.0
1514,10015.0
769,9996.5
202,9993.0
720,9979.0
838,9961.0
788,9955.0
825,9897.0
601,9896.14
364,9888.0
572,9887.0
960,9870.0
708,9839.0
1079,9824.0
305,9818.0
376,9780.0
386,9772.0
407,9769.0
629,9758.0
267,9756.0
761,9754.0
620,9741.0
466,9715.0
700,9706.0
813,9694.0
575,9691.0
650,9686.0
866,9646.0
421,9627.0
288,9624.0
978,9613.0
744,9570.0
535,9564.0
445,9549.0
377,9522.0
807,9482.0
1022,9478.0
496,9460.0
501,9456.0
507,9450.0
988,9447.0
511,9442.0
655,9436.0
418,9430.0
571,9428.0
613,9421.0
578,9415.0
640,9411.0
999,9399.0
560,9371.0
492,9369.0
1267,9343.0
715,9340.0
781,9338.0
803,9318.0
1588,9315.0
734,9300.0
318,9266.0
525,9257.0
631,9254.0
490,9230.0
927,9217.0
660,9190.0
830,9182.0
778,9176.0
809,9161.0
791,9160.0
360,9156.0
882,9151.0
871,9140.0
792,9137.0
795,9121.0
972,9119.0
1057,9114.0
868,9092.0
579,9091.0
875,9084.0
722,9064.41
257,9051.0
539,9040.0
382,9038.0
514,9020.05
519,9018.0
570,9006.0
463,8997.0
502,8979.0
1562,8961.0
1099,8937.0
790,8933.0
1158,8929.0
837,8922.0
666,8917.0
634,8916.0
1487,8899.0
617,8886.0
937,8873.0
775,8864.0
437,8864.0
1455,8859.0
1016,8857.0
1049,8852.0
671,8814.0
878,8789.0
773,8785.0
455,8782.0
929,8778.0
674,8755.0
928,8753.0
697,8750.0
438,8749.0
653,8745.0
983,8742.0
1503,8742.0
1084,8735.0
593,8722.0
704,8719.0
548,8714.0
707,8711.0
298,8692.0
551,8678.0
986,8671.0
638,8668.0
1521,8636.0
598,8619.0
1095,8619.0
614,8617.0
789,8580.0
616,8567.0
725,8543.0
485,8542.0
985,8536.0
873,8524.0
1029,8514.0
520,8503.0
865,8503.0
835,8482.0
506,8482.0
454,8477.0
1006,8463.0
1222,8456.0
356,8453.0
582,8453.0
829,8442.0
292,8437.0
748,8414.0
559,8405.0
689,8400.0
974,8399.0
1383,8392.0
478,8381.0
723,8381.0
641,8379.0
1696,8373.0
852,8363.0
880,8360.0
534,8349.0
416,8345.0
879,8343.0
1013,8340.0
779,8331.0
733,8329.0
979,8313.0
676,8301.0
756,8297.0
884,8266.0
732,8236.0
905,8217.0
368,8214.0
701,8195.0
596,8184.0
595,8174.0
503,8158.0
932,8158.0
574,8147.0
374,8145.0
449,8122.0
839,8111.0
834,8108.0
731,8103.0
705,8088.0
1253,8085.0
1023,8076.0
605,8075.0
1403,8073.0
912,8071.0
1979,8066.0
628,8058.0
901,8042.0
590,8025.0
484,8022.0
479,8015.0
530,8002.0
749,7997.3499999999985
632,7980.0
716,7965.0
694,7964.0
702,7956.0
862,7947.0
1132,7939.0
563,7935.0
1041,7934.0
719,7924.0
291,7892.0
793,7864.0
462,7857.0
1777,7824.0
589,7823.0
847,7822.0
431,7819.0
810,7811.0
751,7803.0
750,7795.0
898,7791.0
626,7780.0
997,7775.0
649,7764.0
967,7761.0
547,7757.0
1177,7754.0
886,7754.0
538,7743.0
1627,7734.0
261,7727.0
764,7727.0
625,7716.0
1152,7710.0
786,7701.0
1048,7691.0
796,7686.0
938,7660.0
1020,7659.0
913,7656.0
651,7653.0
1275,7647.0
1149,7634.0
942,7632.0
1074,7621.0
1336,7609.0
776,7608.0
995,7595.0
1471,7592.0
1192,7587.0
493,7580.0
918,7568.0
594,7562.0
1451,7562.0
757,7558.25
824,7507.0
877,7500.0
959,7484.0
1175,7483.0
624,7483.0
1164,7478.0
858,7477.0
1127,7477.0
684,7468.5
1012,7465.0
404,7454.0
814,7445.0
284,7441.0
362,7438.0
718,7428.0
990,7427.0
401,7405.0
906,7396.0
934,7380.0
580,7372.0
1037,7370.0
742,7367.0
943,7366.0
1229,7363.0
611,7363.0
703,7362.0
762,7345.0
921,7343.0
853,7341.0
739,7338.0
688,7337.0
1384,7334.0
711,7332.0
686,7329.0
1072,7326.0
1144,7322.5
1402,7322.0
1058,7322.0
517,7310.0
691,7290.0
1107,7287.970000000001
823,7286.0
887,7286.0
411,7278.0
737,7276.0
1370,7272.0
896,7271.0
1376,7249.0
1169,7248.0
440,7242.0
867,7237.5
1727,7217.0
1433,7212.0
1034,7212.0
643,7212.0
473,7211.0
1097,7185.0
1552,7182.0
567,7168.0
894,7159.0
544,7152.0
811,7151.0
497,7140.0
1018,7138.0
818,7131.0
1112,7130.0
347,7114.0
897,7111.0
426,7106.0
1133,7094.0
914,7090.0
998,7081.0
608,7066.0
1206,7064.0
1113,7062.0
925,7060.0
1446,7053.0
668,7051.0
1775,7033.0
721,7001.0
434,6997.0
962,6995.0
1705,6982.0
615,6971.0
300,6966.0
848,6962.0
1075,6960.0
1486,6959.0
1003,6955.0
1394,6943.0
752,6942.0
1026,6940.950000000001
1047,6940.0
1439,6933.0
1170,6929.0
1243,6924.0
874,6912.0
1450,6912.0
1272,6891.0
1081,6890.0
1069,6887.0
1650,6875.0
1007,6865.0
1540,6862.0
1373,6862.0
822,6853.0
1105,6852.0
498,6832.0
1268,6825.0
1183,6820.0
618,6818.0
1230,6812.0
950,6807.0
799,6800.0
435,6799.0
948,6797.0
562,6796.0
623,6794.0
1335,6791.0
526,6788.0
944,6788.0
841,6782.0
636,6779.0
840,6779.0
500,6760.5
1304,6758.0
926,6745.0
845,6736.0
645,6730.0
564,6729.0
529,6729.0
1100,6727.0
966,6723.0
552,6719.0
600,6710.0
980,6710.0
1269,6708.0
673,6686.0
583,6686.0
1415,6679.0
994,6676.0
1261,6674.0
587,6671.0
987,6667.0
444,6666.0
576,6665.0
1064,6665.0
1109,6664.0
859,6660.0
1792,6652.0
1649,6649.0
1277,6633.0
518,6630.0
1040,6630.0
1382,6625.0
1181,6622.0
657,6615.0
1599,6612.0
1488,6611.0
741,6610.0
1182,6599.0
680,6597.0
854,6597.0
1130,6581.0
815,6580.0
1443,6560.0
801,6539.0
1148,6524.0
1038,6515.75
1153,6511.0
951,6510.0
805,6505.0
619,6504.0
2036,6501.0
1549,6490.0
964,6489.0
1176,6489.0
2430,6479.0
923,6478.0
1104,6476.0
1603,6474.0
746,6473.0
1066,6470.0
930,6462.0
586,6460.0
1143,6443.0
1288,6435.0
736,6427.0
1387,6415.0
1193,6398.0
1122,6398.0
808,6387.0
1129,6387.0
833,6382.0
1704,6366.0
1001,6365.0
1611,6359.0
889,6355.0
1108,6353.0
1032,6350.0
1326,6314.0
1025,6309.950000000001
863,6302.0
1077,6301.0
1299,6296.0
1400,6293.0
996,6281.0
1783,6269.0
1078,6267.0
935,6263.0
1194,6260.0
861,6255.0
687,6253.0
1090,6251.0
826,6245.989999999998
817,6244.0
1289,6239.0
1215,6235.25
955,6229.879999999999
1171,6227.0
1635,6226.0
856,6226.0
922,6213.0
389,6211.0
1223,6211.0
973,6200.0
1312,6192.0
1523,6191.0
892,6189.0
573,6186.0
893,6180.0
1033,6179.0
1890,6176.0
1190,6158.0
916,6156.0
883,6142.0
1872,6138.0
1362,6136.0
553,6135.0
812,6134.0
770,6125.0
1053,6113.0
907,6113.0
1059,6112.0
1615,6111.0
1280,6105.0
1274,6103.0
968,6102.0
612,6100.0
669,6099.0
855,6098.0
1056,6095.0
1173,6087.0
780,6080.0
763,6061.0
981,6061.0
1259,6057.0
1065,6056.0
1372,6046.0
2304,6043.0
1014,6038.0
1680,6038.0
1232,6027.0
924,6023.0
683,6020.0
1836,6019.0
806,6015.0
1548,6012.0
876,6010.0
1378,6008.0
783,5995.0
772,5990.6900000000005
1322,5980.0
1004,5977.0
849,5977.0
1301,5974.0
1356,5971.0
1703,5967.0
1493,5966.0
1141,5965.0
1165,5963.0
782,5960.0
515,5957.0
1071,5954.0
1207,5948.0
745,5943.0
1545,5941.0
869,5937.0
1425,5932.0
931,5932.0
1002,5931.0
1211,5920.0
800,5915.0
1576,5911.0
940,5908.0
1163,5905.0
1087,5891.0
1128,5887.0
1484,5884.0
537,5876.0
706,5876.0
577,5871.0
1926,5870.0
1724,5865.0
1239,5859.0
698,5854.0
1622,5853.0
1205,5850.0
1116,5835.0
1147,5826.0
1389,5821.0
1101,5818.0
777,5810.0
1379,5806.0
1799,5798.0
1563,5797.0
1546,5789.0
523,5788.0
1062,5783.0
1500,5781.0
1476,5777.0
857,5771.0
585,5752.0
946,5747.0
2128,5742.0
662,5738.0
1156,5737.0
2120,5732.0
1414,5730.0
1350,5730.0
1263,5730.0
832,5728.0
794,5725.0
984,5712.0
1187,5708.0
591,5699.0
1399,5695.0
1180,5695.0
604,5688.0
1364,5681.0
541,5678.0
2076,5663.0
1024,5656.950000000001
753,5655.0
1978,5651.0
1260,5650.0
1480,5645.0
1346,5642.0
1123,5641.0
1089,5631.0
599,5623.0
1276,5621.0
1732,5620.0
1221,5620.0
1408,5617.0
592,5608.0
1590,5601.0
895,5598.0
1174,5592.0
1903,5590.0
1688,5586.0
836,5574.0
891,5573.0
1423,5571.0
872,5571.0
1831,5567.0
1661,5564.0
1220,5561.0
888,5560.0
1418,5555.0
622,5552.0
2146,5544.0
939,5544.0
1212,5541.0
1343,5535.0
1307,5534.0
1303,5533.0
685,5533.0
1352,5531.0
1660,5523.0
512,5523.0
902,5521.0
890,5520.0
2180,5519.5
1998,5518.0
1298,5512.0
936,5512.0
1168,5510.0
1102,5509.0
1531,5493.0
353,5493.0
1154,5488.0
819,5484.0
760,5483.0
1594,5482.0
714,5482.0
969,5475.0
696,5469.0
1595,5468.0
970,5464.0
1329,5456.0
693,5453.0
2530,5449.0
1134,5436.0
1203,5434.0
713,5432.0
533,5429.0
1527,5426.0
1209,5416.0
958,5416.0
1358,5408.0
1600,5407.0
785,5400.0
1046,5398.0
1581,5389.0
1401,5388.0
1189,5387.0
1935,5369.0
1300,5367.0
1764,5366.0
1885,5363.0
766,5341.0
1530,5337.0
768,5331.0
1536,5319.0
565,5318.0
1604,5316.0
1178,5315.0
2312,5315.0
1124,5315.0
1589,5314.0
1233,5313.0
1870,5308.0
1188,5307.0
735,5305.0
1659,5305.0
1196,5302.0
1539,5291.0
1217,5289.0
850,5288.0
1943,5285.0
1255,5284.0
2238,5282.0
581,5281.0
816,5278.0
1676,5275.0
2463,5275.0
1167,5263.0
1654,5263.0
1808,5258.0
1575,5244.0
1161,5242.0
1115,5238.0
920,5231.0
1499,5230.0
1453,5222.0
1864,5222.0
1045,5220.0
2303,5218.0
1302,5215.0
971,5212.0
957,5202.0
846,5201.0
1080,5199.0
956,5187.0
945,5184.0
2073,5183.0
1636,5183.0
975,5176.0
1008,5176.0
991,5174.0
730,5171.0
1354,5171.0
1291,5168.0
1638,5166.0
1042,5162.0
842,5159.0
1571,5154.0
1342,5153.0
1752,5148.0
1327,5144.0
1237,5144.0
1318,5140.0
1412,5140.0
828,5139.0
1591,5132.0
1715,5129.0
2033,5121.0
1250,5112.0
2206,5110.0
1580,5109.0
1184,5106.0
1657,5104.0
2111,5101.0
1444,5095.0
1645,5091.0
1309,5090.0
2189,5083.0
1432,5083.0
1340,5082.0
1294,5080.0
1218,5075.0
843,5074.0
3546,5072.0
917,5071.0
1396,5067.0
1716,5066.0
1317,5063.0
1262,5062.0
949,5059.0
954,5053.0
1172,5050.0
1092,5049.0
1751,5047.0
2170,5043.0
1320,5043.0
1395,5041.0
758,5039.0
1285,5029.99
1266,5026.0
1547,5012.0
774,5009.0
1306,5005.0
1607,5002.0
1117,5000.0
1120,4999.67
1073,4993.0
1270,4992.0
1391,4989.0
1324,4989.0
1667,4985.0
1417,4984.0
1681,4984.0
1281,4983.0
1528,4981.0
1481,4975.0
663,4974.0
1781,4970.0
1347,4968.0
1052,4967.0
2790,4958.0
1287,4950.0
1954,4946.0
2008,4944.0
1733,4943.0
1201,4939.0
1924,4937.0
481,4937.0
1569,4934.0
1445,4930.0
1231,4927.0
1111,4924.0
717,4923.0
1135,4923.0
2578,4923.0
1420,4915.0
1179,4914.0
1088,4908.0
2327,4906.0
1098,4906.0
903,4904.0
450,4901.0
1197,4897.0
1565,4893.0
1086,4891.0
690,4891.0
1204,4890.0
2480,4889.0
682,4887.0
1946,4874.0
1245,4872.0
1035,4870.0
1641,4869.0
1882,4864.0
1519,4857.0
1427,4855.0
1390,4850.0
1044,4844.0
1005,4842.0
670,4838.0
1609,4834.0
1094,4833.0
1228,4832.58
2597,4829.0
1138,4827.0
904,4826.0
2037,4818.1
1707,4813.0
1137,4813.0
1559,4806.0
2386,4806.0
2588,4803.0
1610,4796.0
1106,4796.0
941,4792.0
1009,4792.0
1292,4791.0
1385,4790.0
1524,4789.0
1583,4788.0
1686,4786.0
3284,4786.0
1556,4786.0
2042,4777.0
989,4774.0
2245,4770.0
1458,4762.0
1805,4755.0
1110,4751.0
1027,4744.0
899,4741.0
1763,4741.0
2318,4737.0
1248,4734.0
1900,4734.0
1765,4733.0
1365,4730.0
881,4730.0
1904,4729.0
1216,4727.0
1055,4726.0
1468,4726.0
2225,4723.0
3504,4722.0
2143,4719.0
545,4711.0
1030,4711.0
1224,4709.0
1525,4707.0
1655,4706.0
2358,4696.0
1351,4694.0
2254,4693.0
1510,4685.0
1308,4682.0
1226,4679.0
2429,4679.0
1526,4677.0
2715,4676.0
1050,4676.0
1083,4676.0
1643,4674.0
1509,4673.0
2550,4672.0
1922,4671.0
1473,4671.0
1980,4670.0
1829,4668.0
1338,4667.0
2382,4666.0
1290,4659.0
1457,4657.0
2113,4656.0
1332,4656.0
1252,4653.0
947,4649.0
1474,4647.0
1830,4646.0
488,4645.0
961,4638.0
900,4628.0
2791,4619.0
1442,4617.0
1700,4609.0
2397,4607.0
1735,4600.0
1314,4596.0
2054,4596.0
1479,4592.0
2645,4589.799999999999
993,4588.0
965,4588.0
911,4587.0
1091,4585.0
2102,4585.0
1679,4585.0
1019,4583.0
2547,4579.0
2361,4578.0
1807,4574.0
1714,4574.0
2132,4572.0
1315,4569.0
1827,4566.0
1371,4566.0
2437,4565.0
2023,4563.0
2003,4563.0
2533,4561.0
1235,4558.0
1334,4553.0
1051,4552.0
1017,4552.0
1560,4548.0
1407,4544.0
2487,4544.0
1036,4541.0
2137,4540.0
1699,4539.0
1647,4537.0
1708,4534.0
2001,4533.0
1319,4531.0
1265,4530.0
1619,4530.0
1626,4522.0
1824,4510.0
1835,4508.0
1293,4504.0
2040,4501.0
1651,4501.0
1015,4500.0
1786,4499.0
1849,4496.0
2070,4492.0
864,4490.0
1475,4489.0
1114,4470.0
2161,4469.0
1410,4464.0
2097,4461.0
1367,4452.0
1639,4449.0
1241,4446.0
1310,4444.0
1501,4443.0
1804,4442.0
1436,4441.0
1271,4440.0
1345,4440.0
1801,4431.0
2047,4427.0
1348,4424.0
1082,4420.0
1991,4416.0
1198,4415.0
1616,4413.0
1913,4409.0
1906,4402.0
1495,4399.0
1068,4394.0
2999,4394.0
1031,4393.0
2007,4393.0
1687,4392.0
2253,4385.0
2341,4384.0
1883,4380.0
1434,4374.0
1355,4369.0
2272,4369.0
963,4367.0
1284,4366.99
2243,4361.0
1706,4359.0
3109,4359.0
1672,4354.0
2235,4351.0
2372,4351.0
759,4347.0
2053,4346.0
1820,4344.0
1994,4342.0
1286,4341.0
1640,4339.0
1894,4336.0
1273,4332.0
1238,4331.0
1902,4329.0
1939,4322.0
1242,4321.0
2834,4319.0
2824,4314.0
1191,4310.5
2127,4306.0
1664,4306.0
2071,4303.0
2488,4299.0
2289,4299.0
627,4299.0
678,4297.0
1949,4295.0
1419,4291.0
2606,4288.0
1760,4286.0
1982,4285.0
2624,4284.0
1208,4278.0
2378,4278.0
885,4276.0
1602,4274.5
1633,4268.0
1711,4258.0
1386,4257.0
1485,4253.0
1875,4251.0
1612,4250.0
1985,4249.0
1258,4247.0
2477,4246.0
2262,4244.0
2410,4242.0
1739,4241.0
2856,4240.0
2205,4239.99
2136,4235.0
1478,4234.0
3138,4234.0
2034,4233.0
2204,4230.0
1918,4225.0
3056,4216.0
1948,4216.0
1520,4213.0
2107,4213.0
1811,4200.0
1617,4196.0
1938,4195.0
2066,4194.0
1213,4194.0
2370,4193.0
1139,4193.0
2344,4193.0
1162,4190.0
1928,4189.0
2147,4189.0
1652,4188.0
821,4187.0
1157,4182.0
1054,4165.0
1513,4164.0
2705,4163.0
1592,4163.0
2288,4163.0
1572,4160.0
1000,4154.0
1236,4153.0
3107,4153.0
542,4153.0
2582,4153.0
1761,4152.0
1489,4149.0
2057,4146.0
1669,4146.0
2046,4144.0
1722,4142.0
2138,4141.0
1151,4137.0
2188,4135.0
1251,4134.0
1791,4131.0
1467,4131.0
1691,4128.0
1557,4127.0
2220,4124.0
1508,4119.0
3824,4117.5
2433,4113.0
1328,4112.0
1623,4109.0
1219,4109.0
2058,4106.0
1999,4106.0
3017,4105.0
2930,4105.0
2013,4103.0
1011,4098.0
1577,4093.0
2459,4087.75
2431,4085.0
2197,4084.0
1901,4083.0
2333,4082.0
2719,4079.8999999999996
1861,4079.0
1449,4079.0
1380,4077.0
1119,4075.0
2388,4070.0
2501,4069.0
1582,4067.0
1279,4063.0
3028,4061.0
2631,4052.0
820,4052.0
1424,4052.0
2468,4052.0
1927,4046.0
1608,4046.0
1809,4043.0
2391,4043.0
2421,4043.0
2627,4042.0
439,4041.0
1677,4040.0
1010,4039.0
1585,4039.0
2620,4038.0
1865,4036.0
1558,4035.0
2049,4035.0
1333,4031.0
2563,4030.0
2558,4029.0
3326,4024.0
1388,4023.0
1421,4023.0
1202,4017.0
1892,4014.0
1578,4009.0
1568,4008.0
3275,4003.0
1862,3997.0
1413,3997.0
1629,3997.0
870,3991.0
2022,3989.0
2103,3986.0
2292,3983.0
1397,3980.0
1061,3977.0
1955,3976.0
2583,3976.0
2323,3974.0
3160,3973.0
1888,3972.0
1369,3965.0
1490,3964.0
1459,3963.0
1925,3960.0
1249,3956.0
915,3953.0
1822,3952.67
1210,3951.0
1731,3951.0
3023,3950.0
1330,3947.0
2218,3944.0
1426,3942.0
3267,3941.0
1491,3939.0
2233,3938.0
1682,3937.0
2184,3934.6000000000004
557,3933.0
2776,3931.0
2725,3929.0
1295,3925.0
1497,3925.0
2002,3924.0
1802,3921.0
1405,3919.0
1795,3917.0
1392,3915.0
1438,3912.0
1325,3911.0
2275,3910.0
1879,3908.0
1759,3908.0
2686,3907.0
1963,3904.0
2356,3901.0
2010,3899.0
2168,3898.0
1757,3896.75
1710,3894.0
1734,3891.0
2490,3888.0
3732,3888.0
1721,3886.3500000000004
1742,3881.0
1227,3881.0
1185,3880.0
2373,3876.0
3314,3874.99
2260,3872.0
1848,3871.0
1126,3864.0
1755,3861.75
2101,3858.0
1039,3856.0
3580,3855.0
2056,3855.0
1828,3854.0
2695,3852.0
1316,3852.0
1155,3851.0
2142,3851.0
2239,3850.8
2560,3850.0
3447,3849.0
1772,3848.0
1747,3848.0
2376,3848.0
1131,3847.0
2086,3847.0
1990,3847.0
1957,3847.0
2210,3844.0
2082,3843.0
1470,3842.0
2162,3840.0
2455,3840.0
1898,3839.0
1908,3839.0
1697,3837.0
1496,3835.0
2464,3833.0
1257,3831.0
1856,3830.0
2196,3830.0
1838,3827.0
2157,3827.0
1256,3825.0
2186,3824.0
1561,3824.0
2850,3822.0
1956,3821.0
2392,3818.0
1996,3815.0
1719,3813.9500000000007
1381,3813.0
1986,3813.0
2236,3809.0
2183,3808.0
2436,3804.0
1889,3804.0
2460,3803.75
2191,3802.0
2711,3797.0
1502,3797.0
2755,3796.0
1587,3795.0
2178,3795.0
2517,3795.0
1166,3792.0
2064,3788.0
2093,3787.99
1136,3787.0
2785,3785.0
1244,3785.0
1746,3778.0
1895,3774.0
1296,3772.92
2230,3771.0
2269,3766.0
2266,3766.0
710,3764.0
2095,3764.0
2215,3764.0
2500,3762.0
1422,3762.0
1670,3760.0
2828,3759.99
1642,3759.0
2537,3758.0
1093,3757.0
3114,3756.0
2141,3754.0
2024,3753.0
2492,3751.0
1529,3747.0
1533,3745.0
3329,3745.0
3286,3745.0
1323,3745.0
4017,3742.0
1944,3742.0
2051,3741.0
1789,3732.0
2395,3732.0
1554,3723.0
1842,3711.0
2284,3710.0
2815,3708.0
2812,3703.0
2495,3702.0
1876,3701.0
2441,3700.0
2713,3698.0
1668,3697.0
2123,3696.0
1975,3695.0
952,3695.0
1737,3692.0
1741,3692.0
2646,3691.0
2337,3691.0
1579,3690.0
2016,3687.0
2192,3686.0
1644,3684.0
1070,3681.0
2564,3680.0
1997,3679.0
1818,3674.0
